,first_name,last_name,city,postcode,age,income,phone_number
0,Mirela,Brzezińska,Piła,61-556,77,4802.15d,450617008
1,Nin,Mpaj,konin,60-858,47,5917.37,
2,Cyryla,Czerwińska,Szamotuły,60-142,88,7544.00,
3,Balbina,DomańskaL,Gniezno,61-387,38,5743.36,504209735
4,Genowefa,PrSzybylska,poznań,63-740,62,64432.7,781818985
5,Aa,Kucharska,Piła,6-442,33,7882.72,727274175
6,Rasa,WTiśniewska,kalisz,60-850,59,6302.45,667669846
7,Benigna,Kowalska,Poznań,63-00,,7452.12,699341576
8,idia,Stępieńska,Poznań,65-590,31,N0185.46,451872688
9,Klara,Maj,gniezno,61-397,68,6656.28,571333338
10,Izabella,SadowsJka,Poznań,60-233,,9358.68,501063719
11,Słwa,Pawlicka,Leszno,61-681,32,8118.74,789516001
12,Soia,Makowska,Poznań,61-41,94,4065.52,452446238
13,Roma,Włodarczyk,Konin,61-285,22,4795.73,665612398
14,Paulina,Kozłowska,Konin,60-211,64,5332.81,732347157
15,Natalia,Dudek,Kalisz,61-306,63,5290.33,665385303
16,Irmina,Sawicka,leszno,61-808,39,6819.42,885950305
17,Alicja,Walczak,Poznań,64-12,55,8229.29,781163042
18,Blanka,Baranowska,kalisz,60-302,,9510.32,698031344
19,Lucja,Maciejewska,Konin,60-119,77,7616.35,781003854
20,Mlena,Wilczyńska,Gniezno,60-41,36,6108.64,573575531
21,Izabella,Szewczyk,Poznań,61-382,34,2835.52,784966590
22,Julitta,Zielińska,Poznań,0-617,44,714.18,579725782
23,Stella,Młynarczyk,poznań,60-818,92,7051.54,507224688
24,Wincentyna,Sadowska,Konin,60-271,83,7365.86,531603861
25,Daniela,KJaźmierczak,Konin,2-053,,11212.48,
26,Kina,Wójcik,Gniezno,60-188,71,9481O19,791786663
27,Grażyna,Król,Konin,61-629,,8570.12,603941431
28,Bronisława,Szczepańska,kalisz,61-007,57,5075.85,501090476
29,Gerda,Kulesza,Kalisz,60-397,,5974.01,607352141
30,Amalia,Olszewska,poznań,61-475,60,6810.31,533727714
31,Galina,Sokołowska,kalisz,62-480,47,5449.19,539603773
32,Izabella,Michalak,Leszno,60-164,71,8000.93,607059611
33,Izabell,WitkowskaX,Konin,60-108,63,7713.82,883145537
34,inga,Laskowska,poznań,61-875,28,4823.38,
35,Eyta,Rutkowska,gniezno,61-298,50,9393.63,534474778
36,Lidia,Kozłowska,Szamotuły,61-044,,7204.62,782232079
37,Elwira,KwiatkoJwska,poznań,64-78,87,3541.68,796761632
38,Natalia,Lis,kalisz,62-710,,6897.31D,661917206
39,Tekla,Czerwińska,gniezno,61-111,85,7562.41,722799920
