,first_name,last_name,city,postcode,age,income,phone_number
0,Mirela,Brzezińska,Piła,61-556,77,4802.15,450617008
1,Nina,Maj,Konin,60-858,47,5917.37,694145740
2,Cyryla,Czerwińska,Szamotuły,60-142,88,7544.00,502517822
3,Balbina,Domańska,Gniezno,61-387,38,5743.36,504209735
4,Genowefa,Przybylska,Poznań,63-740,62,6443.27,781818985
5,Ada,Kucharska,Piła,61-442,33,7882.72,727274175
6,Raisa,Wiśniewska,Kalisz,60-850,59,6302.45,667669846
7,Benigna,Kowalska,Poznań,63-500,31,7452.12,699341576
8,Lidia,Stępieńska,Poznań,65-590,31,10185.46,451872688
9,Klara,Maj,Gniezno,61-397,68,6656.28,571333338
10,Izabella,Sadowska,Poznań,60-233,40,9358.68,501063719
11,Sława,Pawlicka,Leszno,61-681,32,8118.74,789516001
12,Sonia,Makowska,Poznań,61-421,94,4065.52,452446238
13,Roma,Włodarczyk,Konin,61-285,22,4795.73,665612398
14,Paulina,Kozłowska,Konin,60-211,64,5332.81,732347157
15,Natalia,Dudek,Kalisz,61-306,63,5290.33,665385303
16,Irmina,Sawicka,Leszno,61-808,39,6819.42,885950305
17,Alicja,Walczak,Poznań,64-122,55,8229.29,781163042
18,Blanka,Baranowska,Kalisz,60-302,25,9510.32,698031344
19,Lucja,Maciejewska,Konin,60-119,77,7616.35,781003854
20,Milena,Wilczyńska,Gniezno,60-441,36,6108.64,573575531
21,Izabella,Szewczyk,Poznań,61-382,34,2835.52,784966590
22,Julitta,Zielińska,Poznań,60-617,44,7141.18,579725782
23,Stella,Młynarczyk,Poznań,60-818,92,7051.54,507224688
24,Wincentyna,Sadowska,Konin,60-271,83,7365.86,531603861
25,Daniela,Kaźmierczak,Konin,62-053,96,11212.48,513417075
26,Kinga,Wójcik,Gniezno,60-188,71,9481.19,791786663
27,Grażyna,Król,Konin,61-629,72,8570.12,603941431
28,Bronisława,Szczepańska,Kalisz,61-007,57,5075.85,501090476
29,Gerda,Kulesza,Kalisz,60-397,92,5974.01,607352141
30,Amalia,Olszewska,Poznań,61-475,60,6810.31,533727714
31,Galina,Sokołowska,Kalisz,62-480,47,5449.19,539603773
32,Izabella,Michalak,Leszno,60-164,71,8000.93,607059611
33,Izabella,Witkowska,Konin,60-108,63,7713.82,883145537
34,Kinga,Laskowska,Poznań,61-875,28,4823.38,883498650
35,Edyta,Rutkowska,Gniezno,61-298,50,9393.63,534474778
36,Lidia,Kozłowska,Szamotuły,61-044,44,7204.62,782232079
37,Elwira,Kwiatkowska,Poznań,64-708,87,3541.86,796761632
38,Natalia,Lis,Kalisz,62-710,49,6897.31,661917206
39,Tekla,Czerwińska,Gniezno,61-111,85,7562.41,722799920
40,Feliksa,Cieślak,Leszno,60-406,54,8945.58,601032167
41,Judyta,Sadowska,Gniezno,61-743,80,6325.05,781133894
42,Erna,Rutkowska,Kalisz,61-425,29,8655.88,797647642
43,Zenona,Sadowska,Szamotuły,60-563,94,7374.28,576491089
44,Judyta,Andrzejewska,Ostrów Wielkopolski,61-395,57,4369.89,784168533
45,Erika,Kowalska,Poznań,61-858,39,4169.67,733227492
46,Izabella,Górecka,Konin,60-592,38,9245.12,535671364
47,Aldona,Szymańska,Kalisz,61-123,40,9391.97,450905388
48,Gerda,Wasilewska,Poznań,61-734,48,7645.82,730167274
49,Bogumiła,Jankowska,Leszno,60-151,77,9991.41,535756169
50,Wioletta,Sadowska,Ostrów Wielkopolski,61-677,96,9113.22,512870985
51,Anna,Czerwińska,Poznań,64-426,73,8367.26,798488124
52,Benigna,Kalinowska,Konin,61-138,63,5177.38,883934716
53,Filomena,Domańska,Piła,61-463,55,10462.86,663880406
54,Zinaida,Kamińska,Leszno,61-035,86,8072.60,578320651
55,Marcela,Sawicka,Konin,60-661,88,6228.32,512546770
56,Leonarda,Witkowska,Ostrów Wielkopolski,61-042,42,5663.46,500053012
57,Matylda,Górecka,Konin,63-911,96,7513.57,735037511
58,Bogumiła,Nowakowska,Poznań,77-416,50,3657.88,889698371
59,Mirosława,Sobczak,Poznań,60-195,84,8399.35,608714724
60,Angelika,Włodarczyk,Szamotuły,60-866,97,5092.86,517837761
61,Lilianna,Pawłowska,Poznań,60-553,76,7741.22,577398066
62,Wioleta,Jasińska,Kalisz,60-141,31,5956.76,793088621
63,Ludomira,Pietrzak,Poznań,61-672,66,6471.16,573507218
64,Leontyna,Kowalska,Konin,60-391,28,5486.18,660395271
65,Bernarda,Zawadzka,Szamotuły,60-559,83,6677.54,720942639
66,Julita,Kulesza,Kalisz,60-476,41,10778.76,502589082
67,Pelagia,Sikorska,Szamotuły,63-140,75,9770.12,669269519
68,Halina,Andrzejewska,Poznań,61-359,93,7708.96,720875006
69,Feliksa,Kulesza,Kalisz,60-564,33,6949.41,691733387
70,Mieczysława,Wawrzyniak,Piła,62-235,50,8688.40,510620391
71,Bożenna,Pawłowska,Konin,61-841,71,9259.94,739976828
72,Narcyza,Maciejewska,Leszno,61-529,52,5340.36,575431745
73,Natalia,Wojciechowska,Piła,61-341,32,6845.12,665234010
74,Urszula,Wasilewska,Konin,61-646,20,3356.08,734258527
75,Ludwika,Kowalska,Kalisz,61-713,51,9246.20,791579378
76,Violetta,Nowicka,Ostrów Wielkopolski,60-322,71,11130.05,735102261
77,Edeltrauda,Marciniak,Poznań,61-022,65,7160.17,882162452
78,Julita,Piotrowska,Leszno,61-017,31,2749.98,571809943
79,Ingeborga,Kowalska,Poznań,60-188,55,8217.78,732910246
80,Filomena,Jankowska,Konin,60-004,48,5191.82,531927244
81,Bożenna,Witkowska,Poznań,63-520,40,5673.30,577087094
82,Irma,Wiśniewska,Gniezno,61-156,78,8253.15,695217109
83,Izabela,Walczak,Poznań,61-459,43,7509.11,883576839
84,Zofia,Zawadzka,Gniezno,61-418,62,6023.78,797825006
85,Iwona,Szczepańska,Poznań,60-274,94,5700.79,886189009
86,Kamilla,Szulc,Konin,62-305,62,7251.67,693732734
87,Ryszarda,Szulc,Leszno,60-572,69,6181.07,889666334
88,Bogusława,Malinowska,Gniezno,60-769,24,4781.53,669855040
89,Kornelia,Maciejewska,Konin,61-734,33,6334.87,574230287
90,Mariola,Jakubowska,Konin,61-654,26,7679.19,663472285
91,Balbina,Rutkowska,Piła,61-729,81,6643.79,662763787
92,Longina,Kamińska,Kalisz,61-611,87,4172.98,536419836
93,Izabella,Jasińska,Poznań,61-841,33,8978.13,888155507
94,Pelagia,Pawlak,Piła,60-603,36,1522.38,606878093
95,Lucja,Kwiatkowska,Leszno,62-840,45,6107.27,577511407
96,Izabella,Głowacka,Poznań,63-714,66,5759.60,780221714
97,Renata,Tomczak,Kalisz,60-434,69,7296.36,884718178
98,Aleksandra,Wasilewska,Poznań,60-173,74,8123.32,456647132
99,Natasza,Duda,Poznań,60-020,92,9253.53,737289100
100,Serafina,Adamska,Gniezno,61-818,42,5575.19,503236803
101,Erna,Kowalska,Poznań,64-200,72,8173.16,505238836
102,Julia,Szymczak,Gniezno,61-833,64,7391.64,532179681
103,Julitta,Urbańska,Szamotuły,61-418,43,3576.92,792060142
104,Wincentyna,Domańska,Kalisz,61-118,92,10801.08,727600955
105,Bernardyna,Szulc,Gniezno,61-218,26,4122.45,793806219
106,Klara,Czajka,Gniezno,60-312,76,7838.99,721244554
107,Julia,Kucharska,Ostrów Wielkopolski,61-131,78,7779.92,725710293
108,Kazimiera,Zielińska,Leszno,62-740,93,7551.27,727870529
109,Modesta,Grabowska,Poznań,61-770,61,6010.85,723703599
110,Teodora,Duda,Kalisz,60-248,44,8654.51,515001221
111,Sylwia,Laskowska,Kalisz,60-167,86,3879.27,536882099
112,Apolonia,Pawłowska,Poznań,61-309,81,6868.34,781852467
113,Klaudia,Wojciechowska,Kalisz,61-151,59,5872.25,604020728
114,Łucja,Zawadzka,Poznań,60-569,81,5645.40,450991699
115,Hermina,Brzezińska,Szamotuły,61-103,40,7857.50,722100157
116,Milena,Domańska,Poznań,62-430,66,9154.96,885684685
117,Maja,Szymczak,Poznań,61-214,89,6313.49,516661970
118,Teodozja,Kaczmarska,Poznań,60-196,44,8561.36,505916686
119,Lila,Wilczyńska,Poznań,60-198,58,7099.48,575109687
120,Tatiana,Sadowska,Leszno,64-500,96,5214.54,452226717
121,Seweryna,Czajka,Poznań,60-313,83,6484.10,795556729
122,Renata,Urbańska,Leszno,60-312,91,6401.03,668544296
123,Anastazja,Dudek,Poznań,60-574,50,5606.68,660635265
124,Helena,Laskowska,Konin,62-105,100,7856.97,797548085
125,Marzenna,Nowicka,Konin,62-120,31,7469.29,452864178
126,Izabella,Michalak,Leszno,60-760,61,3818.70,660603793
127,Marta,Sikorska,Leszno,61-324,57,3696.95,539545887
128,Hanna,Rutkowska,Poznań,61-239,83,7849.37,531692009
129,Elfryda,Zielińska,Poznań,61-781,93,5369.43,518163881
130,Cecylia,Zielińska,Poznań,60-524,78,7604.08,797687853
131,Sława,Michalska,Gniezno,61-704,69,8561.86,780676065
132,Żaneta,Cieślak,Ostrów Wielkopolski,64-305,53,4458.09,455935045
133,Izabella,Stępieńska,Szamotuły,62-814,60,4176.93,698268125
134,Patrycja,Zawadzka,Kalisz,61-333,60,10348.86,454103724
135,Zofia,Kowalewska,Kalisz,61-418,20,7703.14,600716101
136,Heronima,Maj,Leszno,61-583,59,6161.52,607236506
137,Bolesława,Lewandowska,Gniezno,62-600,88,5132.12,731554200
138,Ingeborga,Bednarska,Gniezno,61-449,76,5979.12,606616748
