rec-id,given-name,surname,postcode,city,telephone-number,credit-card-number,income-normal,age-uniform
rec-0000-org,Eugenia,Baranowska,60-139,Gniezno,691416335,6758 5786 8463 8777,65161.02,1
rec-0001-org,Julianna,Rutkowska,61-059,Poznań,508275539,4409 2995 3116 8176,37997.72,74
rec-0002-dup-0,fecylia,Wajilewska,62-120,,,0109 48872 0693 7902,80722.63,37
rec-0002-org,Cecylia,Wasilewska,62-120,Gniezno,539521117,0109 8872 0693 7902,80722.63,37
rec-0003-dup-0,Lupomira,Góreka,6o-543,Poznań,,78737 8860 0534 8233,48330.41,35
rec-0003-dup-1,Lupomira,Góreka,60-543,Pojnań,576392086,7837 8860 05348233,48330.41,53
rec-0003-org,Lubomira,Górecka,60-543,Poznań,576392086,7837 8860 0534 8233,48330.41,35
rec-0004-dup-0,Wiejława,Zaadzka,60-76t,Poznań,,4255 3067 87988 4307,47458.99,24
rec-0004-dup-1,Wisława,Zaeadzka,60-765,Poznań,,4255 3067 988 4307,47458.99,42
rec-0004-org,Wiesława,Zawadzka,60-765,Poznań,453691559,4255 3067 8988 4307,47458.99,24
rec-0005-org,Joanna,Brzezińska,60-533,Poznań,536556472,9362 2149 9436 3745,88671.88,81
rec-0006-org,Dioniza,Lewandowska,60-161,Kalisz,532270267,2204 8471 8749 5173,34330.80,79
rec-0007-org,Dorota,Bąk,62-212,Konin,792034717,5484 4257 5915 5904,69961.10,56
rec-0008-dup-0,Helka,Sjulc,62-456,Gniezno,,5819 5327 8364 7988,,77
rec-0008-org,Helga,Szulc,61-456,Gniezno,789399824,5819 5327 8364 7988,48024.23,77
rec-0009-dup-0,Galina,Zieliństka,64-970,Kalijz,,2655 5630 370 5137,40227.43,31
rec-0009-dup-1,Galina,Zieliństka,64-97p,Kaliss,,2655 5630 37410 5137,40227.43,32
rec-0009-dup-2,Galina,Zielińzka,64-o70,Kalis,,2655 5630 374 5137,40227.43,32
rec-0009-org,Galina,Zielińska,64-970,Kalisz,515699611,2655 5630 3740 5137,40227.43,32
rec-0010-dup-0,Magtalena,Cieślikka,missing,Konin,885987622,0379 2049 3845 123,57485.33,9
rec-0010-dup-1,Magtalena,Ciślicka,60-157,Koninr,885987622,0379 209 3845 4123,,94
rec-0010-org,Magdalena,Cieślicka,60-157,Konin,885987622,0379 2049 3845 4123,57485.33,94
rec-0011-dup-0,Patrycza,Bąi,62-2r0,Konin,,1703 42301 2545 1382,69150.26,65
rec-0011-dup-1,Patrtcja,Bąck,62-240,Koni,507800681,1703 4301 2545 132,69150.26,65
rec-0011-dup-2,Patriecja,Bąlc,62-250,Koin,,1703 43014 2545 1382,69150.26,65
rec-0011-org,Patrycja,Bąk,62-250,Konin,507800681,1703 4301 2545 1382,69150.26,65
rec-0012-org,Danuta,Urbańska,60-715,Konin,782282005,5329 7802 7655 8857,51925.82,93
rec-0013-org,Romana,Urbańska,60-758,Poznań,789688457,8842 3722 1468 7240,46432.08,31
rec-0014-dup-0,Kon5tancja,Krawchyk,64-360,Lesznp,,0150 7053 4800 09782,23006.37,23
rec-0014-dup-1,Konstaricja,Kraczyk,64-360,Leszmo,,0150 7053 48 00 9782,23006.37,23
rec-0014-org,Konstancja,Krawczyk,64-360,Leszno,604780774,0150 7053 4800 9782,23006.37,23
rec-0015-dup-0,Anna,Kaczmareck,61-511,Gniezmo,,3925 8465 455 4665,,65
rec-0015-dup-1,Ana,Kakzmarek,61-t11,Gniezno,,3925 8465 4455 4665,51498.99,465
rec-0015-org,Anna,Kaczmarek,61-511,Gniezno,532663416,3925 8465 4455 4665,51498.99,65
rec-0016-dup-0,Miiena,Lazkowska,61-333,Lestzno,,3077 5254 0318 2493,51473.92,5
rec-0016-org,Milena,Laskowska,61-332,Leszno,571797497,3077 5254 0318 2493,51473.92,5
rec-0017-dup-0,Bokna,Domańska,60-247,Leszho,,3559 56702 6886 5105,49912.44,79
rec-0017-org,Bogna,Domańska,60-248,Leszno,797031207,3559 5602 6886 5105,49912.44,79
rec-0018-dup-0,Mirela,Cieślak,64-211,Kal8sz,,4098 6252 0207 1999,,92
rec-0018-org,Mirella,Cieślak,64-211,Kalisz,454618723,4098 6252 0207 1999,61973.10,97
rec-0019-dup-0,Wilhekmina,Włodarcjyk,61-608,Poznań,,5294 2599 0692 9005,,542
rec-0019-dup-1,Wilhelminq,Włotarczyk,missing,Pojnań,537183764,5294 2599 00692 9005,26585.21,52
rec-0019-org,Wilhelmina,Włodarczyk,61-608,Poznań,537183764,5294 2599 0692 9005,26585.21,52
rec-0020-dup-0,Narcysa,Wojcichowska,60-431,Konin,,4524 9580 14961 6485,68535.64,79
rec-0020-org,Narcyza,Wojciechowska,60-331,Konin,783136502,4524 9580 1961 6485,68535.64,79
rec-0021-org,Marta,Szulc,62-405,Konin,532719500,5825 2522 8788 1760,90693.04,13
rec-0022-dup-0,Lilyana,Makowski,64-330,Gniesno,796524077,9160 48249 8893 8030,33517.66,91
rec-0022-org,Liliana,Makowska,64-330,Gniezno,796524077,9160 4829 8893 8030,33517.66,19
rec-0023-org,Izabella,Król,61-553,Ostrów Wielkopolski,511827448,6015 7440 0012 8290,17876.37,38
rec-0024-dup-0,Marioa,Kamjńska,61-8i5,Kalis,538782945,6715 5277 18101578,30137.50,52
rec-0024-dup-1,Mari0la,Kamińzka,61-885,Kalis,,6715 5277 1810 1578,,52
rec-0024-org,Mariola,Kamińska,61-885,Kalisz,538782945,6715 5277 1810 1578,30137.50,52
rec-0025-org,Bernardeta,Szulc,60-503,Kalisz,787899405,3617 9928 1162 0215,30351.03,93
rec-0026-org,Ida,Młynarczyk,60-434,Konin,608650948,0667 1154 4980 1277,66496.12,94
rec-0027-org,Janina,Gajewska,61-229,Piła,732886195,7516 6998 1706 2734,53461.17,79
rec-0028-org,Lena,Wasilewska,60-651,Konin,605855665,9969 3944 9227 8940,47012.30,21
rec-0029-dup-0,Ksavvera,Michalak,60-645,Gniezno,,0356 4522 9072 877,,56
rec-0029-org,Ksawera,Michalak,60-655,Gniezno,722404335,0356 4522 9072 8377,25385.01,56
rec-0030-org,Irena,Jankowska,60-639,Piła,534419693,1265 5320 7906 2833,62118.41,49
rec-0031-dup-0,Itsabella,Maciwjewska,62-0w0,Gniezno,,3715 989 0188 6267,51229.07,5
rec-0031-dup-1,Isabella,Maciejewjka,62-020,Gniejno,,3715 9869 018 8 6267,51229.07,5
rec-0031-dup-2,Ijabella,Maciejewska,missing,Gnizno,661055661,3715 9869 01884 6267,51229.07,8
rec-0031-org,Izabella,Maciejewska,62-020,Gniezno,661055661,3715 9869 0188 6267,51229.07,5
rec-0032-org,Izabella,Zakrzewska,61-701,Poznań,793206799,8270 1476 3639 7077,45821.84,29
rec-0033-dup-0,Teovila,Wajilewska,61-658,,726416862,2210 7880 91654 3246,56497.98,49
rec-0033-dup-1,Teovila,Wazilewska,missing,Konon,726416862,2210 7880 9164 3246,,49
rec-0033-org,Teofila,Wasilewska,61-657,Konin,726416862,2210 7880 9164 3246,56497.98,49
rec-0034-dup-0,Celina,Stepieńska,60-3p2,Piłq,,6777 69140 5985 5707,34519.47,19
rec-0034-dup-1,Celina,Stępieńzka,60-3p2,Piłac,,67776940 5985 5707,34519.47,19
rec-0034-org,Celina,Stępieńska,60-302,Piła,531465911,6777 6940 5985 5707,34519.47,19
rec-0035-org,Izabella,Wilczyńska,61-838,Konin,732703352,1406 1842 0894 3983,57481.78,95
rec-0036-dup-0,Wlrginia,Bednaahska,60-254,Poznań,,7914 2316 0302 671,55865.81,85
rec-0036-org,Wirginia,Bednarska,60-254,Poznań,538338848,7914 2316 0302 6171,55865.81,58
rec-0037-dup-0,Erlka,Tomaszewscka,60-71t,Gniezno,,4446 5902 1768  0313,71442.94,29
rec-0037-dup-1,Ericka,Tomeszewska,60-815,Gniejno,889407016,4446 5902 1768 0313,,29
rec-0037-dup-2,Erlka,Tomaszewska,60-7q5,Gniezbo,889407016,44462 5902 1768 0313,71442.94,92
rec-0037-org,Erika,Tomaszewska,60-715,Gniezno,889407016,4446 5902 1768 0313,71442.94,29
rec-0038-org,Maria,Kubicka,60-831,Konin,607981238,7504 9187 0353 0652,51514.42,25
rec-0039-dup-0,Ligya,Jankowzka,60-297,Gniezno,785543840,4222 6344 083 9093,35695.52,59
rec-0039-org,Ligia,Jankowska,60-287,Gniezno,785543840,4222 6344 0483 9093,35695.52,95
rec-0040-org,Ligia,Nowicka,60-288,Konin,796893639,2503 6988 5119 9919,51826.76,33
rec-0041-org,Irena,Lis,61-658,Gniezno,514826292,5202 1112 9132 8733,30812.87,95
rec-0042-dup-0,Lucza,Sokołovskiea,61-228,Poznwń,666474231,2156 3027 0430 44373,,61
rec-0042-org,Lucja,Sokołowska,61-228,Poznań,666474231,2156 3027 0430 4373,59551.11,61
rec-0043-dup-0,Adriamna,Górsla,61-735,,,6349 80528 7764 2254,34119.80,16
rec-0043-dup-1,Atrianna,Górscka,61-735,Gniejno,507289752,6349 8052 7764 82254,,16
rec-0043-org,Adrianna,Górska,61-735,Gniezno,507289752,6349 8052 7764 2254,34119.80,16
rec-0044-org,Aneta,Witkowska,61-891,Piła,793312797,5324 7497 4044 7006,44026.47,40
rec-0045-org,Adelajda,Baranowska,61-695,Leszno,720817703,8499 8813 6482 0644,51498.07,56
rec-0046-dup-0,Marzenna,Kacsmarska,61-617,Konin,,0894 8471 2331 47596,44024.71,88
rec-0046-dup-1,Marzenna,Kaczmarska,61-6q6,Konidn,,0894 28471 2331 7596,44024.71,38
rec-0046-dup-2,Marjenna,Kaczmarka,61-626,Kobin,,0894 8471 2331 7596,44024.71,83
rec-0046-org,Marzenna,Kaczmarska,61-616,Konin,664472649,0894 8471 2331 7596,44024.71,83
rec-0047-dup-0,Lutmiła,Czerwińscka,60-692,Lejzno,,9672 3309 740 1478,86121.07,25
rec-0047-org,Ludmiła,Czerwińska,60-692,Leszno,516657027,9672 3309 7450 1478,86121.07,25
rec-0048-org,Julia,Kucharska,60-205,Konin,785186892,6205 9017 6236 0720,82553.16,77
rec-0049-dup-0,Mariola,Urbańzka,63-030,Kalisj,,1927 2156 3324 005,34352.48,62
rec-0049-org,Mariola,Urbańska,62-030,Kalisz,510644742,1927 2156 3324 0058,34352.48,62
rec-0050-org,Bogdana,Pawłowska,62-860,Poznań,737339776,7240 1301 9851 9833,68164.05,1
rec-0051-dup-0,Amelya,Majewscka,63-804,Piła,,9472 98854890 5425,23461.68,92
rec-0051-org,Amelia,Majewska,63-904,Piła,452205020,9472 9885 4890 5425,23461.68,92
rec-0052-dup-0,Magta,Maciejewska,60-277,Pojnań,739982795,05188 1526 4904 5290,,37
rec-0052-dup-1,Magda,Maciesewska,60-287,P0znań,,0588 1526 904 5290,45544.88,3
rec-0052-org,Magda,Maciejewska,60-287,Poznań,739982795,0588 1526 4904 5290,45544.88,37
rec-0053-org,Ludomira,Górecka,60-157,Poznań,692145868,3439 3426 0954 1791,66972.31,57
rec-0054-dup-0,Motesta,Ciślicka,62-411,Posnań,578995299,8133 85175 8155 8070,67156.37,81
rec-0054-org,Modesta,Cieślicka,62-511,Poznań,578995299,8133 8515 8155 8070,67156.37,81
rec-0055-org,Blanka,Maciejewska,60-848,Szamotuły,457139660,5469 5729 9182 3479,35728.26,1
rec-0056-dup-0,Bogumiła,Cjerwińska,71-203,,725015569,0478 2878 31719 5416,,83
rec-0056-org,Bogumiła,Czerwińska,61-203,Poznań,725015569,0478 2878 3179 5416,77815.10,83
rec-0057-dup-0,Maza,Kravvczyk,61-485,Lejzno,,858 4905 9257 5170,41166.57,56
rec-0057-dup-1,Maya,Krawczyg,61-r85,Leszn9,692785760,85338 4905 9257 5170,41166.57,56
rec-0057-dup-2,Manja,Krawcsyk,61-485,Lesno,,8538 4905 92657 5170,41166.57,56
rec-0057-org,Maja,Krawczyk,61-485,Leszno,692785760,8538 4905 9257 5170,41166.57,56
rec-0058-dup-0,Hieronina,Przybylzka,60-5o3,Kalizz,,1423 8144 3894 6089,69728.88,45
rec-0058-org,Hieronima,Przybylska,60-503,Kalisz,519145046,1423 8144 3894 6089,69728.88,45
rec-0059-org,Henryka,Tomczak,63-700,Leszno,880317807,8193 2525 3117 5573,66741.50,92
rec-0060-org,Gabriela,Zając,61-403,Konin,722307681,0068 5096 0722 9737,74557.91,87
rec-0061-org,Agnieszka,Pawlicka,61-011,Gniezno,574857142,2581 4484 1876 0250,52279.12,96
rec-0062-org,Zenona,Zawadzka,61-526,Poznań,572493214,5550 8857 7269 0832,46905.81,13
rec-0063-org,Inga,Kozłowska,60-731,Konin,666299795,5120 5445 3247 8741,52564.14,8
rec-0064-org,Izabella,Pawlicka,61-573,Kalisz,787733294,5955 6424 3005 5413,73998.69,79
rec-0065-org,Fryderyka,Przybylska,61-661,Szamotuły,607724599,2088 8323 1687 6647,65103.79,82
rec-0066-dup-0,Bożenr,Szulk,61-e09,Kaoisz,,8978 2606 7904 6289,17279.51,7
rec-0066-org,Bożena,Szulc,61-409,Kalisz,727696393,8978 2606 7904 6289,17279.51,7
rec-0067-org,Amalia,Lis,60-727,Poznań,723219719,9767 7585 5331 9095,47283.59,10
rec-0068-dup-0,Renwta,Szczepańscka,61-396,Konlin,789657013,2277 9516 0004 240,,66
rec-0068-dup-1,Renaja,Szczepańzka,missing,Kon8n,789657013,2277 9516 0004 2404,47722.68,6
rec-0068-org,Renata,Szczepańska,61-396,Konin,789657013,2277 9516 0004 2404,47722.68,66
rec-0069-dup-0,Celina,Kubikka,61-517,Gniezno,535494651,95480134 8363 6623,,58
rec-0069-dup-1,Celkna,Kubikka,61-417,Gniezni,,9548 0134 8363 6623,44283.38,58
rec-0069-dup-2,Celina,Kul>icka,missing,Gniesno,,9548 0134 78363 6623,44283.38,85
rec-0069-org,Celina,Kubicka,61-417,Gniezno,535494651,9548 0134 8363 6623,44283.38,85
rec-0070-org,Izabella,Sawicka,64-704,Kalisz,666683272,3084 9101 6302 5903,56740.11,84
rec-0071-dup-0,Aneta,Wystocka,64-713,,797621267,9903 6975 2946 73445,53247.30,15
rec-0071-dup-1,Anedta,Wyspcka,64-713,Kalisz,,9903 6975 29467445,53247.30,15
rec-0071-dup-2,Aneta,Wystocka,missing,Kalisz,,9903 6975 2946 74845,53247.30,51
rec-0071-org,Anetta,Wysocka,64-713,Kalisz,797621267,9903 6975 2946 7445,53247.30,51
rec-0072-dup-0,Matzena,Domańzka,62-023,Poznań,,8949 944 6013 0549,57923.12,298
rec-0072-org,Marzena,Domańska,62-023,Poznań,730973846,8949 9443 6013 0549,57923.12,98
rec-0073-dup-0,Lutmiła,Kamińzka,64-092,Konin,518478189,1450 40186 7741 1280,53199.26,8
rec-0073-org,Ludmiła,Kamińska,64-091,Konin,518478189,1450 4018 7741 1280,53199.26,68
rec-0074-dup-0,Atelajda,Zakrzewskq,62-215,Posnań,,6898 5783 4828 4739,66632.51,17
rec-0074-org,Adelajda,Zakrzewska,61-215,Poznań,720778795,6898 5783 4828 4739,66632.51,17
rec-0075-org,Elza,Adamska,60-790,Gniezno,570792904,0448 4700 7943 1352,27857.32,13
rec-0076-dup-0,Lupomira,Makowdka,61-302,Szamtuły,,3870 79452963 8641,44110.99,86
rec-0076-org,Lubomira,Makowska,61-302,Szamotuły,732927524,3870 7945 2963 8641,44110.99,86
rec-0077-org,Lucja,Michalska,62-067,Kalisz,696637239,5654 0891 4332 1901,47642.72,5
rec-0078-dup-0,Lavra,Kowal5ka,61-t08,Kalidz,786742860,4732 7354 6259 51739,56542.96,96
rec-0078-org,Laura,Kowalska,61-508,Kalisz,786742860,4732 7354 6259 5173,56542.96,96
rec-0079-org,Jagoda,Kaczmarek,61-064,Poznań,734544149,6409 7555 3962 9646,52124.15,77
rec-0080-dup-0,Zovia,Dąbrovvska,61-38i,Poznań,,7307 5760 3595 4642,12539.85,2
rec-0080-org,Zofia,Dąbrowska,61-388,Poznań,780106181,7307 5760 3595 4642,12539.85,25
rec-0081-dup-0,Eleonora,Szvmczak,61-872,Szanotuły,,1817 3019 4151 827,,47
rec-0081-org,Eleonora,Szymczak,61-872,Szamotuły,791192692,1817 3019 4151 4827,70042.27,47
rec-0082-dup-0,Ludom'lra,Głowaka,62-291,Poznań,572140665,0985 42631 4337 2916,,84
rec-0082-dup-1,Lutomira,Głoacka,62-191,Poznanń,,0985 4231 4337 2916,46022.75,44
rec-0082-dup-2,Lutomira,Głowavka,missing,Poznań,,0985 4231 4337 916,46022.75,44
rec-0082-org,Ludomira,Głowacka,62-291,Poznań,572140665,0985 4231 4337 2916,46022.75,44
rec-0083-org,Emma,Makowska,61-748,Poznań,502863917,4244 1693 0572 1195,85047.14,7
rec-0084-dup-0,Katarshyna,Szczepańzka,61-406,Poznań,,8445 8040 78134 7145,91629.27,40
rec-0084-org,Katarzyna,Szczepańska,61-306,Poznań,456425690,8445 8040 7834 7145,91629.27,40
rec-0085-dup-0,Elisa,Lij,60-596,Poznań,,6564 0905 14867 5986,44069.19,53
rec-0085-dup-1,Elisa,Liz,60-595,Poznsń,667198554,6564 0905 1486 5986,,56
rec-0085-dup-2,Elisa,List,missing,Poznań,,6564 0905 1486 5986,44069.19,653
rec-0085-org,Eliza,Lis,60-595,Poznań,667198554,6564 0905 1486 5986,44069.19,53
rec-0086-dup-0,Grażyna,Palicka,63-223,Ostrów Wielkopolski,,1391 72176 3105 2293,,4
rec-0086-dup-1,Grażyna,Pawlicka,63-w33,Ostrów Wielkopolski,,1391 7176 31035 2293,,6
rec-0086-org,Grażyna,Pawlicka,63-233,Ostrów Wielkopolski,456346157,1391 7176 3105 2293,35320.28,4
rec-0087-dup-0,Romama,Przypylska,62-436,Poznań,,6644 19373469 8571,98590.15,56
rec-0087-org,Romana,Przybylska,62-436,Poznań,727005050,6644 1937 3469 8571,98590.15,46
rec-0088-dup-0,Izapella,Wawr2yniak,61-14y,Piła,,3977 2139 0236 2823,14459.76,639
rec-0088-dup-1,Izapella,Warzyniak,61-146,Piła,,3977 139 0236 2823,,63
rec-0088-org,Izabella,Wawrzyniak,61-146,Piła,500270790,3977 2139 0236 2823,14459.76,63
rec-0089-org,Izabella,Szewczyk,60-344,Konin,507993136,5528 6587 5313 1980,53021.40,98
rec-0090-org,Walentyna,Bednarska,61-163,Kalisz,601142625,9068 2704 7188 3992,80752.38,93
rec-0091-org,Izabella,Wasilewska,61-501,Poznań,500021946,7799 2080 3378 2345,51347.22,64
rec-0092-org,Wincenta,Kowalewska,60-261,Poznań,732791456,0075 9138 3861 3145,51145.78,12
rec-0093-dup-0,Razalia,Szymczak,61-762,Piła,,8152 28849 2618 0707,,5
rec-0093-dup-1,Rozal'la,Szymkzak,61-76e,Piła,,8152 2889 261 0707,44104.82,5
rec-0093-org,Rozalia,Szymczak,61-763,Piła,693403127,8152 2889 2618 0707,44104.82,5
rec-0094-dup-0,Jaclwiga,Pawlak,60-y25,Pojnań,,8437 1902 11631 3856,54719.12,72
rec-0094-org,Jadwiga,Pawlak,60-625,Poznań,451082207,8437 1902 1161 3856,54719.12,72
rec-0095-org,Narcyza,Wasilewska,60-694,Poznań,531531363,6153 3616 1205 7717,22895.02,59
rec-0096-org,Izabella,Maciejewska,64-010,Kalisz,665273543,5504 2085 0526 9318,48285.25,6
rec-0097-dup-0,Maahcela,Góreccka,60-272,Pozjań,732929831,6746 8549 016 3547,66040.25,259
rec-0097-dup-1,Marcela,Górekka,60-282,Poznqń,,6746 849 8016 3547,66040.25,59
rec-0097-dup-2,Maahcela,Góreccka,60-272,Poznań,,6746 8549 80126 3547,,59
rec-0097-org,Marcela,Górecka,60-272,Poznań,732929831,6746 8549 8016 3547,66040.25,59
rec-0098-org,Paulina,Cieślicka,61-526,Piła,535693929,0084 6845 0725 0657,66157.66,99
rec-0099-dup-0,Malina,Pawlikka,62-006,Gnizno,,6663 3572 21175 5873,55571.08,30
rec-0099-dup-1,Malina,Pawlika,62-006,Gniezjo,,6663 3572 2175 5873,,30
rec-0099-dup-2,Malwina,Palicka,62-007,Gniezno,881773180,6663 357 2175 5873,,305
