rec-id,given-name,second-name,surname,telephone-number,birthday_year
rec-000-dup-0,Makowska,Regina,Edyta,,05/10/1906
rec-000-org,Edyta,Regina,Makowska,691027677,05/10/1960
rec-001-org,Stanisława,Genowefa,Olszewska,606258815,09/02/1963
rec-002-dup-0,Gabryela,Bąk,Wirginia,,24/10/1989
rec-002-org,Wirginia,Gabryela,Bąk,500469632,24/10/1998
rec-003-org,Stanisława,Izabella,Kalinowska,698774701,15/09/2010
rec-004-org,Florentyna,Adrianna,Maciejewska,600047974,14/02/1983
rec-005-dup-0,Kowalska,Lilianna,Dorota,,10/09/1995
rec-005-dup-1,Lilianna,Dorota,Kowalska,606506098,10/09/1995
rec-005-org,Lilianna,Dorota,Kowalska,606506098,10/09/1959
rec-006-org,Sonia,Lubomira,Olszewska,698499121,18/06/1974
rec-007-dup-0,Joanna,Zakrzewska,Kazimiera,,17/08/1929
rec-007-org,Joanna,Kazimiera,Zakrzewska,738680002,17/08/1992
rec-008-dup-0,Ksenia,Bernardyna,Głowacka,,19/05/1939
rec-008-dup-1,Bernardyna,Ksenia,Głowacka,722595269,19/05/1939
rec-008-dup-2,Głowacka,Bernardyna,Ksenia,722595269,19/05/1939
rec-008-org,Bernardyna,Ksenia,Głowacka,722595269,19/05/1993
rec-009-dup-0,Amelia,Kozłowska,Zenaida,,19/07/1909
rec-009-dup-1,Zenaida,Kozłowska,Amelia,727947055,19/07/1909
rec-009-org,Zenaida,Amelia,Kozłowska,727947055,19/07/1990
rec-010-org,Leonarda,Aurelia,Górecka,737499309,21/09/1979
rec-011-dup-0,Krzysztofa,Marzanna,Cieślicka,,14/03/1996
rec-011-dup-1,Krzysztofa,Marzanna,Cieślicka,783091307,14/03/1996
rec-011-dup-2,Krzysztofa,Marzanna,Cieślicka,783091307,14/03/1996
rec-011-org,Marzanna,Krzysztofa,Cieślicka,783091307,14/03/1969
rec-012-org,Izabella,Zofia,Michalska,889702838,16/11/1969
rec-013-dup-0,Bednarska,Marcelina,Ludmiła,,09/04/1908
rec-013-dup-1,Marcelina,Bednarska,Ludmiła,517858549,09/04/1908
rec-013-org,Marcelina,Ludmiła,Bednarska,517858549,09/04/1980
rec-014-org,Leokadia,Marlena,Kaźmierczak,574375758,09/12/2008
rec-015-org,Modesta,Liliana,Jasińska,788665240,03/12/1967
rec-016-dup-0,Sokołowska,Wincentyna,Janina,,24/10/1935
rec-016-dup-1,Wincentyna,Janina,Sokołowska,577338484,24/10/1935
rec-016-dup-2,Sokołowska,Wincentyna,Janina,577338484,24/10/1935
rec-016-org,Wincentyna,Janina,Sokołowska,577338484,24/10/1953
rec-017-org,Gerda,Wiera,Czerwińska,458330165,22/02/1992
rec-018-dup-0,Irena,Sikorska,Teodozja,,21/02/1988
rec-018-dup-1,Teodozja,Irena,Sikorska,516773454,21/02/1988
rec-018-org,Irena,Teodozja,Sikorska,516773454,21/02/1988
rec-019-dup-0,Eliza,Lesława,Wieczorek,,31/12/1985
rec-019-dup-1,Wieczorek,Eliza,Lesława,790262067,31/12/1985
rec-019-org,Eliza,Lesława,Wieczorek,790262067,31/12/1958
rec-020-org,Blanka,Izabella,Brzezińska,579915478,28/03/1982
rec-021-dup-0,Izabella,Izabella,Brzezińska,,19/05/1939
rec-021-org,Izabella,Izabella,Brzezińska,531527420,19/05/1993
rec-022-dup-0,Kaczmarek,Julia,Iza,,16/03/1985
